downtime_id,date,downtime_start_time,downtime_end_time,downtime_time,date_corrected,downtime_duration,downtime_seconds,downtime_minutes,downtime_hours,event_count
downtime_995,2022-12-06,07:51:25.213000,13:41:15.114000,05:49:49.901000,False,0 days 05:49:49.901000,20989.901,349.8316833333334,5.830528055555556,1
downtime_073,2022-07-26,10:19:14.313000,13:17:29.814000,02:58:15.501000,False,0 days 02:58:15.501000,10695.501,178.25835,2.9709725,1
downtime_948,2022-11-28,12:49:41.096000,15:45:56.601000,02:56:15.505000,False,0 days 02:56:15.505000,10575.505,176.25841666666665,2.9376402777777777,1
downtime_1155,2022-12-22,12:12:15.528000,15:02:45.987000,02:50:30.459000,False,0 days 02:50:30.459000,10230.459,170.50765,2.841794166666667,1
downtime_1068,2022-12-19,11:37:06.098000,14:24:51.583000,02:47:45.485000,False,0 days 02:47:45.485000,10065.485,167.75808333333333,2.7959680555555555,1
downtime_1184,2022-12-27,12:29:06.522000,15:11:52.001000,02:42:45.479000,False,0 days 02:42:45.479000,9765.479,162.75798333333333,2.712633055555556,1
downtime_1133,2022-12-21,12:03:31.846000,14:42:08.012000,02:38:36.166000,False,0 days 02:38:36.166000,9516.166,158.60276666666667,2.6433794444444443,1
downtime_919,2022-11-21,13:57:06.277000,16:19:36.669000,02:22:30.392000,False,0 days 02:22:30.392000,8550.392,142.50653333333332,2.3751088888888887,1
downtime_903,2022-11-15,11:53:35.976000,14:04:21.245000,02:10:45.269000,False,0 days 02:10:45.269000,7845.269,130.75448333333333,2.179241388888889,1
downtime_498,2022-09-28,15:44:58.731000,17:53:29.079000,02:08:30.348000,False,0 days 02:08:30.348000,7710.348,128.5058,2.141763333333333,1
downtime_1271,2023-01-16,12:45:05.732000,14:47:36.083000,02:02:30.351000,False,0 days 02:02:30.351000,7350.351,122.50585,2.0417641666666664,1
downtime_162,2022-09-02,12:21:36.662000,14:22:51.800000,02:01:15.138000,False,0 days 02:01:15.138000,7275.138,121.2523,2.020871666666667,1
downtime_1216,2022-12-30,12:00:58.863000,13:59:11.913000,01:58:13.050000,False,0 days 01:58:13.050000,7093.05,118.2175,1.9702916666666668,1
downtime_722,2022-10-25,12:29:13.482000,14:16:37.764000,01:47:24.282000,False,0 days 01:47:24.282000,6444.282,107.4047,1.7900783333333334,1
downtime_1091,2022-12-20,12:34:11.448000,14:20:56.755000,01:46:45.307000,False,0 days 01:46:45.307000,6405.307,106.75511666666668,1.7792519444444443,1
downtime_1036,2022-12-13,12:10:39.713000,13:57:24.996000,01:46:45.283000,False,0 days 01:46:45.283000,6405.283,106.75471666666668,1.779245277777778,1
downtime_1021,2022-12-13,08:13:09.028000,09:59:39.329000,01:46:30.301000,False,0 days 01:46:30.301000,6390.301,106.50501666666668,1.7750836111111112,1
downtime_1379,2023-02-10,11:51:46.295000,13:35:46.584000,01:44:00.289000,False,0 days 01:44:00.289000,6240.289,104.00481666666666,1.7334136111111111,1
downtime_1205,2022-12-28,12:50:19.300000,14:34:04.609000,01:43:45.309000,False,0 days 01:43:45.309000,6225.309,103.75515,1.7292525,1
downtime_867,2022-11-08,13:04:08.866000,14:43:53.843000,01:39:44.977000,False,0 days 01:39:44.977000,5984.977,99.74961666666668,1.662493611111111,1
downtime_813,2022-11-03,12:04:40.528000,13:44:17.579000,01:39:37.051000,False,0 days 01:39:37.051000,5977.051,99.61751666666667,1.6602919444444446,1
downtime_984,2022-12-05,12:22:50.029000,13:59:35.303000,01:36:45.274000,False,0 days 01:36:45.274000,5805.274,96.75456666666668,1.6125761111111112,1
downtime_1327,2023-01-27,12:32:29.089000,14:08:22.216000,01:35:53.127000,False,0 days 01:35:53.127000,5753.127,95.88545,1.5980908333333337,1
downtime_789,2022-10-31,12:00:38.066000,13:35:38.390000,01:35:00.324000,False,0 days 01:35:00.324000,5700.324,95.0054,1.5834233333333332,1
downtime_350,2022-09-15,11:59:16.705000,13:31:46.964000,01:32:30.259000,False,0 days 01:32:30.259000,5550.259,92.50431666666668,1.541738611111111,1
downtime_1009,2022-12-08,12:34:34.054000,14:04:04.307000,01:29:30.253000,False,0 days 01:29:30.253000,5370.253,89.50421666666666,1.4917369444444444,1
downtime_126,2022-08-01,15:15:02.392000,16:28:47.833000,01:13:45.441000,False,0 days 01:13:45.441000,4425.441,73.75735,1.2292891666666663,1
downtime_791,2022-10-31,14:09:53.444000,15:19:53.644000,01:10:00.200000,False,0 days 01:10:00.200000,4200.2,70.00333333333333,1.1667222222222222,1
downtime_872,2022-11-08,16:06:09.078000,17:12:24.259000,01:06:15.181000,False,0 days 01:06:15.181000,3975.181,66.25301666666667,1.1042169444444443,1
downtime_1044,2022-12-13,14:38:25.114000,15:44:25.301000,01:06:00.187000,False,0 days 01:06:00.187000,3960.187,66.00311666666667,1.1000519444444443,1
downtime_1013,2022-12-08,15:12:04.499000,16:16:49.684000,01:04:45.185000,False,0 days 01:04:45.185000,3885.185,64.75308333333334,1.0792180555555555,1
downtime_962,2022-12-02,12:14:06.334000,13:11:21.526000,00:57:15.192000,False,0 days 00:57:15.192000,3435.192,57.2532,0.95422,1
downtime_889,2022-11-11,16:01:01.280000,16:56:06.106000,00:55:04.826000,False,0 days 00:55:04.826000,3304.826,55.08043333333333,0.9180072222222222,1
downtime_086,2022-07-26,14:23:45.002000,15:18:15.186000,00:54:30.184000,False,0 days 00:54:30.184000,3270.184,54.50306666666667,0.9083844444444444,1
downtime_714,2022-10-24,16:23:14.650000,17:16:29.788000,00:53:15.138000,False,0 days 00:53:15.138000,3195.138,53.2523,0.8875383333333333,1
downtime_019,2022-07-22,13:04:18.974000,13:55:19.147000,00:51:00.173000,False,0 days 00:51:00.173000,3060.173,51.00288333333333,0.8500480555555555,1
downtime_071,2022-07-26,09:03:44.103000,09:51:44.236000,00:48:00.133000,False,0 days 00:48:00.133000,2880.133,48.00221666666666,0.8000369444444444,1
downtime_1190,2022-12-27,16:05:37.139000,16:51:04.815000,00:45:27.676000,False,0 days 00:45:27.676000,2727.676,45.46126666666667,0.7576877777777777,1
downtime_996,2022-12-06,13:49:45.138000,14:32:00.831000,00:42:15.693000,False,0 days 00:42:15.693000,2535.693,42.26155000000001,0.7043591666666668,1
downtime_793,2022-10-31,15:49:23.878000,16:31:23.831000,00:41:59.953000,False,0 days 00:41:59.953000,2519.953,41.99921666666667,0.6999869444444444,1
downtime_1304,2023-01-20,16:49:54.179000,17:29:39.509000,00:39:45.330000,False,0 days 00:39:45.330000,2385.33,39.7555,0.6625916666666667,1
downtime_1081,2022-12-19,15:55:21.841000,16:34:21.952000,00:39:00.111000,False,0 days 00:39:00.111000,2340.111,39.00185,0.6500308333333333,1
downtime_1182,2022-12-27,11:19:06.320000,11:58:06.431000,00:39:00.111000,False,0 days 00:39:00.111000,2340.111,39.00185,0.6500308333333333,1
downtime_1283,2023-01-16,17:01:36.456000,17:40:21.568000,00:38:45.112000,False,0 days 00:38:45.112000,2325.112,38.751866666666665,0.6458644444444445,1
downtime_828,2022-11-03,14:36:18.215000,15:12:32.817000,00:36:14.602000,False,0 days 00:36:14.602000,2174.602,36.24336666666667,0.6040561111111111,1
downtime_467,2022-09-22,14:49:35.430000,15:25:20.465000,00:35:45.035000,False,0 days 00:35:45.035000,2145.035,35.75058333333333,0.5958430555555555,1
downtime_697,2022-10-24,15:01:59.423000,15:37:29.522000,00:35:30.099000,False,0 days 00:35:30.099000,2130.099,35.501650000000005,0.5916941666666667,1
downtime_1019,2022-12-13,07:27:27.939000,08:02:39.001000,00:35:11.062000,False,0 days 00:35:11.062000,2111.062,35.18436666666666,0.5864061111111111,1
downtime_070,2022-07-22,20:25:09.648000,20:59:24.683000,00:34:15.035000,False,0 days 00:34:15.035000,2055.035,34.25058333333333,0.5708430555555555,1
downtime_1079,2022-12-19,15:19:21.729000,15:45:36.820000,00:26:15.091000,False,0 days 00:26:15.091000,1575.091,26.251516666666664,0.4375252777777777,1
downtime_137,2022-08-01,17:33:58.169000,18:00:13.241000,00:26:15.072000,False,0 days 00:26:15.072000,1575.072,26.2512,0.4375199999999999,1
downtime_312,2022-09-12,15:50:32.343000,16:16:29.694000,00:25:57.351000,False,0 days 00:25:57.351000,1557.351,25.95585,0.4325975,1
downtime_072,2022-07-26,09:53:44.242000,10:18:14.312000,00:24:30.070000,False,0 days 00:24:30.070000,1470.07,24.501166666666663,0.4083527777777778,1
downtime_1015,2022-12-08,17:09:19.832000,17:33:34.902000,00:24:15.070000,False,0 days 00:24:15.070000,1455.07,24.251166666666663,0.4041861111111111,1
downtime_124,2022-08-01,14:48:06.059000,15:11:17.381000,00:23:11.322000,False,0 days 00:23:11.322000,1391.322,23.1887,0.3864783333333333,1
downtime_152,2022-08-04,16:00:04.356000,16:22:49.413000,00:22:45.057000,False,0 days 00:22:45.057000,1365.057,22.75095,0.3791825,1
downtime_879,2022-11-08,18:23:09.468000,18:44:39.546000,00:21:30.078000,False,0 days 00:21:30.078000,1290.078,21.5013,0.358355,1
downtime_390,2022-09-15,15:48:17.384000,16:09:32.425000,00:21:15.041000,False,0 days 00:21:15.041000,1275.041,21.25068333333333,0.3541780555555555,1
downtime_1010,2022-12-08,14:05:04.306000,14:25:49.413000,00:20:45.107000,False,0 days 00:20:45.107000,1245.107,20.75178333333333,0.3458630555555555,1
downtime_1018,2022-12-13,07:06:42.889000,07:26:42.941000,00:20:00.052000,False,0 days 00:20:00.052000,1200.052,20.000866666666663,0.3333477777777777,1
downtime_1326,2023-01-27,12:03:32.577000,12:22:59.049000,00:19:26.472000,False,0 days 00:19:26.472000,1166.472,19.4412,0.32402,1
downtime_1345,2023-01-31,15:25:30.379000,15:43:15.479000,00:17:45.100000,False,0 days 00:17:45.100000,1065.1,17.751666666666665,0.2958611111111111,1
downtime_1218,2022-12-30,14:05:56.937000,14:22:41.987000,00:16:45.050000,False,0 days 00:16:45.050000,1005.05,16.750833333333333,0.2791805555555555,1
downtime_1144,2022-12-21,17:14:08.433000,17:29:53.477000,00:15:45.044000,False,0 days 00:15:45.044000,945.044,15.750733333333333,0.2625122222222222,1
downtime_117,2022-07-26,17:48:00.574000,18:03:15.624000,00:15:15.050000,False,0 days 00:15:15.050000,915.05,15.250833333333333,0.2541805555555555,1
downtime_1074,2022-12-19,14:49:06.650000,15:03:51.702000,00:14:45.052000,False,0 days 00:14:45.052000,885.052,14.750866666666669,0.2458477777777777,1
downtime_881,2022-11-11,14:51:01.030000,15:05:16.123000,00:14:15.093000,False,0 days 00:14:15.093000,855.093,14.25155,0.2375258333333333,1
downtime_585,2022-10-10,14:30:42.119000,14:44:57.173000,00:14:15.054000,False,0 days 00:14:15.054000,855.054,14.2509,0.237515,1
downtime_1355,2023-02-07,13:44:00.812000,13:58:01.006000,00:14:00.194000,False,0 days 00:14:00.194000,840.194,14.003233333333332,0.2333872222222222,1
downtime_1059,2022-12-16,17:01:02.146000,17:15:02.182000,00:14:00.036000,False,0 days 00:14:00.036000,840.036,14.0006,0.2333433333333333,1
